msa_name,trend_coef_Jobs,average_value_Jobs,pct_coef_Jobs,average_pct_Jobs,trend_coef_Rent,average_value_Rent,pct_coef_Rent,average_pct_Rent,normalized_trend_coef_Jobs,normalized_pct_coef_Jobs,normalized_average_pct_Jobs,Jobs_weight,normalized_trend_coef_Rent,normalized_pct_coef_Rent,normalized_average_pct_Rent,Rent_weight,total_weight,avg_insurance,prop_tax,Jobs,Rent,Price,rent_price_ratio
"Phoenix, AZ",156.87178464322685,5077.272727272727,9.398914558308057e-09,0.0024329274286629585,0.3199167577127039,8.235212888791837,-1.349268820022347e-07,0.0060846655267641344,0.6267664044398885,0.38188030517013877,0.6500991738474522,1.253532808879777,0.5857058182110966,0.30920894916668157,0.6263369556547226,0.5857058182110966,1.8392386270908736,4086.0,0.0066,2444200.0,1864.017828788762,460783.4195333528,0.004045323138311923
"Atlanta, GA",138.3279284013837,4861.818181818182,-1.1794010584231878e-07,0.001835613954820056,0.29316713527019234,7.826275374994767,-3.171076305422202e-08,0.005435413630877769,0.5575858507702728,0.32380018557559503,0.515101412710442,1.1151717015405456,0.5299569902083276,0.33134468436118536,0.5397517412656038,0.5299569902083276,1.6451286917488732,4006.0,0.0092,3078000.0,1919.1852151724595,385770.9266957661,0.0049749348184706605
"Riverside, CA",105.03709883960208,3374.5454545454545,-4.1842905266059943e-07,0.002359266406894607,0.38668016913948494,10.486009214749426,4.893300903287305e-07,0.005617677999983975,0.4333895675825237,0.18674530708558956,0.633451176678034,0.8667791351650475,0.7248472938901923,0.4430871377062147,0.5640587930810064,0.7248472938901923,1.5916264290552398,2598.0,0.0076,1697100.0,2510.6857778919807,581266.9001824938,0.004319333815676979
"Los Angeles, CA",68.42351094447231,4737.272727272727,-1.2688678164766976e-07,0.0009310469166174224,0.32014972192422575,9.834449089508588,-1.554022183314099e-07,0.00421436942608705,0.2967972510016411,0.3197195510684849,0.3106618172497023,0.5935945020032822,0.5861913384006561,0.3048178072828319,0.37691144011244415,0.5861913384006561,1.1797858404039383,2598.0,0.0076,6273400.0,2924.553381752241,961667.108975696,0.003041128634281026
"San Diego, CA",41.37253131876002,1753.6363636363637,-1.1614164191949144e-08,0.0013491832169169988,0.40296358580183583,11.808699048005012,7.855635025571077e-07,0.0052484317192259015,0.19587963584080104,0.37229610919450756,0.4051640624901998,0.3917592716816021,0.7587835259531966,0.5066173734454058,0.5148155508442239,0.7587835259531966,1.1505427976347988,2598.0,0.0076,1560300.0,2971.155757070846,957093.773617926,0.0031043517771926683
"Charlotte, NC",72.83060444302997,2461.818181818182,-2.0014954351989867e-07,0.002097838119886929,0.23654034391357928,6.697940542104274,4.880767066117542e-07,0.004909515827479688,0.3132385544893173,0.2863039494879289,0.5743662321900708,0.6264771089786346,0.41194122163166663,0.4428183369574667,0.46961721514023175,0.41194122163166663,1.0384183306103012,4375.0,0.0084,1363200.0,1771.2063150325885,383795.9124220579,0.004614969200309784
"Nashville, TN",74.4290037263343,2401.818181818182,-1.7650323127516545e-07,0.0024465886518417654,0.23012490054899318,6.5034272941988815,3.1085597449001065e-07,0.004301160661452455,0.3192016155679832,0.2970891796461568,0.6531867227213572,0.6384032311359664,0.39857081053661436,0.40481156788684436,0.38848605047372886,0.39857081053661436,1.0369740416725808,4873.0,0.0071,1163000.0,1904.4590921551917,442659.1493780543,0.004302314986216817
"Sacramento, CA",45.89053483470843,1729.090909090909,-9.94307188129875e-08,0.0018334422119667564,0.31979862838572937,9.166122515316083,-8.3507375358014e-07,0.005400843909662878,0.2127347052847343,0.33224243217764254,0.5146105809515757,0.4254694105694686,0.5854596251462884,0.15905540818424224,0.5351414709810987,0.5854596251462884,1.010929035715757,2598.0,0.0076,1095100.0,2257.290357841637,584288.8717138467,0.0038633122537838384
"Las Vegas, NV",55.47021768720873,2224.5454545454545,7.546262778338372e-07,0.0026101435115560017,0.2699689577330991,6.9821211711228734,7.910782058552746e-08,0.00519370005794514,0.24847310592116106,0.7217831428705941,0.6901514671167043,0.4969462118423221,0.4816097205497552,0.35511084459934544,0.5075164537512571,0.4816097205497552,0.9785559323920774,2707.0,0.006,1149800.0,1772.931503609456,424147.21291320096,0.004179990931526586
"Seattle, WA",62.47442335283947,2580.909090909091,-3.4248436032604947e-07,0.0013616560366090016,0.23925182319265076,7.622755937347533,-4.855084360786379e-07,0.00440012574973691,0.27460331420388184,0.2213841538388019,0.4079830223952108,0.5492066284077637,0.417592209502127,0.23402320759639864,0.40168418426500446,0.417592209502127,0.9667988379098906,2801.0,0.0098,2146400.0,2193.73452344798,752995.190225948,0.002913344669292928
